,index
0,"['3000037', '3000577', '3000580', '3000642', '3000768', '3000813', '3000963', '3001197', '3001485', '3001714', '3001745', '3001880', '3002234', '3002303', '3002328', '3002532', '3002576', '3002673', '3002720', '3002834', '3002916', '3003093', '3003108', '3003123', '3003127', '3003142', '3003262', '3003306', '3003353', '3003420', '3003658', '3003808', '3003856', '3003869', '3004134', '3004352', '3004405', '3004423', '3004458', '3004480', '3004821', '3004875', '3005121', '3005141', '3005154', '3005226', '3005314', '3005385', '3005393', '3005499', '3005523', '3005553', '3005613', '3005617', '3005621', '3005625', '3005637', '3005668', '3005867', '3005880', '3005896', '3005988', '3005997', '3006031']"
1,"['3006050', '3006060', '3006096', '3006141', '3006191', '3006209', '3006218', '3006240', '3006270', '3006702', '3007073', '3007143', '3007311', '3007332', '3007383', '3007780', '3007831', '3007998', '3008136', '3008216', '3008316', '3008682', '3008770', '3008869', '3008878', '3009087', '3009098', '3009115', '3009153', '3009228', '3009310', '3009661', '3009868', '3009946', '3010138', '3010299', '3010398', '3010536', '3010562', '3010587', '3010798', '3010951', '3010972', '3011319', '3011610', '3011992', '3012082', '3012220', '3012381', '3012439', '3012473', '3012491', '3012618', '3012640', '3012647', '3012772', '3012804', '3012859', '3013343', '3013383', '3013398', '3013410', '3013495', '3013505']"
2,"['3013636', '3013645', '3013665', '3014278', '3014302', '3014338', '3014386', '3014461', '3014762', '3015225', '3015260', '3015330', '3015681', '3015708', '3015816', '3015821', '3015880', '3015957', '3015974', '3016147', '3016470', '3016524', '3016624', '3016631', '3016668', '3016672', '3016700', '3016731', '3016748', '3016810', '3016825', '3016900', '3016961', '3016968', '3017181', '3017229', '3017386', '3017485', '3017509', '3017773', '3017818', '3017832', '3018052', '3018061', '3018069', '3018070', '3018127', '3018167', '3018244', '3018293', '3018612', '3018690', '3018991', '3019269', '3019316', '3019357', '3019382', '3019429', '3019598', '3019844', '3019984', '3020140', '3020228', '3020256']"
3,"['3020310', '3020329', '3020422', '3020468', '3020587', '3020723', '3020762', '3021047', '3021175', '3021327', '3021614', '3022122', '3022202', '3022238', '3022293', '3022306', '3022316', '3022326', '3022333', '3022402', '3022442', '3023255', '3023700', '3023718', '3023855', '3024228', '3024244', '3024251', '3024353', '3024988', '3025639', '3025783', '3026397', '3026837', '3026871', '3026896', '3026932', '3026996', '3027005', '3027143', '3027361', '3027362', '3027363', '3027428', '3027718', '3027731', '3027737', '3027745', '3027906', '3028009', '3028207', '3028423', '3028520', '3028830', '3028839', '3028841', '3028861', '3028862', '3028881', '3028891', '3029212', '3029294', '3029391', '3029989']"
4,"['3030243', '3030260', '3030268', '3030315', '3030681', '3030699', '3030819', '3030891', '3030959', '3030964', '3031003', '3031157', '3031227', '3031391', '3031435', '3031553', '3031590', '3031613', '3031802', '3031832', '3032430', '3032441', '3032797', '3033402', '3033767', '3033951', '3035394', '3036538', '3036797', '3036850', '3036903', '3036991', '3037002', '3037079', '3037149', '3037152', '3037220', '3037221', '3037356', '3037377', '3037695', '3037729', '3037822', '3037893', '3037918', '3038019', '3038170', '3038193', '3038304', '3038646', '3039019', '3039355', '3039462', '3039648', '3039679', '3040047', '3040202', '3040281', '3040789', '3040987', '3041291', '3041338', '3041347', '3041965']"
5,"['3041972', '3042270', '3042324', '3042336', '3042417', '3042577', '3042746', '3042931', '3043182', '3043383', '3043900', '3043928', '3044117', '3044289', '3044973', '3045153', '3045546', '3045865', '3046298', '3046411', '3046438', '3046447', '3046569', '3046671', '3046716', '3046769', '3046778', '3046876', '3046882', '3046939', '3046991', '3047050', '3047075', '3047076', '3047078', '3047141', '3047211', '3047437', '3047664', '3047816', '3048111', '3048115', '3048178', '3048228', '3048474', '3048692', '3048738', '3049420', '3049536', '3049547', '3049733', '3049746', '3050026', '3050049', '3050277', '3050446', '3050475', '3050480', '3050519', '3050814', '3050831', '3050926', '3050972', '3051200']"
6,"['3051220', '3051235', '3051261', '3051334', '3051423', '3051451', '3051853', '3051858', '3051878', '3051922', '3052061', '3052127', '3052246', '3052261', '3052283', '3052403', '3052461', '3052476', '3052531', '3052540', '3052578', '3052613', '3052622', '3052629', '3052634', '3052733', '3052764', '3052773', '3053017', '3053057', '3053231', '3053239', '3053253', '3053437', '3053549', '3053898', '3053925', '3053941', '3053961', '3053965', '3053980', '3054207', '3054223', '3054232', '3054327', '3054431', '3054442', '3054544', '3054621', '3054672', '3054720', '3054737', '3054879', '3054884', '3055056', '3055180', '3055186', '3055200', '3055261', '3055289', '3055308', '3055349', '3055463', '3055482']"
7,"['3055512', '3055547', '3055552', '3055557', '3055571', '3055585', '3055638', '3055702', '3055704', '3055793', '3055817', '3055842', '3055843', '3055849', '3055872', '3055875', '3055883', '3055886', '3055902', '3055914', '3055930', '3055949', '3055957', '3056050', '3056155', '3056193', '3056241', '3056440', '3056453', '3056469', '3056501', '3056527', '3056590', '3056621', '3056731', '3056752', '3056945', '3056998', '3057027', '3057042', '3057043', '3057078', '3057104', '3057131', '3057143', '3057152', '3057191', '3057237', '3057240', '3057385', '3057386', '3058052', '3058256', '3058267', '3058544', '3058556', '3058621', '3058734', '3058775', '3058825', '3058850', '3058877', '3059019', '3059368']"
8,"['3059434', '3059459', '3059681', '3059938', '3060084', '3060090', '3060140', '3060309', '3060894', '3060900', '3061098', '3061149', '3061622', '3062018', '3062026', '3062027', '3062195', '3062201', '3062305', '3062354', '3062356', '3062363', '3062383', '3062394', '3062516', '3062617', '3062630', '3062705', '3062784', '3062792', '3062815', '3062858', '3062999', '3063095', '3063142', '3063146', '3063230', '3063234', '3063287', '3063341', '3063447', '3063651', '3063711', '3063722', '3063838', '3064089', '3064177', '3064382', '3065083', '3065092', '3065113', '3065129', '3065149', '3065191', '3065425', '3065674', '3065850', '3065994', '3066003', '3066063', '3066180', '3066232', '3066252', '3066296']"
9,"['3066305', '3066441', '3066930', '3067445', '3067477', '3067485', '3067535', '3067553', '3067587', '3067603', '3067628', '3067729', '3067946', '3068110', '3068135', '3068151', '3068182', '3068292', '3068322', '3068361', '3068469', '3068571', '3068670', '3068711', '3068882', '3068927', '3068940', '3069048', '3069091', '3069108', '3069334', '3069365', '3069580', '3069779', '3069787', '3069920', '3070055', '3070063', '3070071', '3070090', '3070116', '3070202', '3070553', '3070818', '3070857', '3070862', '3070875', '3070912', '3070952', '3071287', '3071474', '3071509', '3071538', '3071585', '3071586', '3071850', '3071932', '3071981', '3071987', '3072095', '3072146', '3072264', '3072526', '3072545']"
