creative_data_id,attention_data_completed
2067756,36.2443
1677406,90.9233
2111294,83.3333
2341383,69.3182
2366516,92.6752
1707609,97.5309
2376918,90.6881
2348579,57.1813
2594128,92.4788
2119971,59.8039
2576920,94.5736
2224227,96.1538
1751217,57.1429
2555925,94.9751
2295856,87.7497
2294303,97.5904
2571644,80.0
2639340,83.3333
2334730,79.066
2507201,94.2308
2638671,86.1017
1696961,46.6767
2389974,50.6263
1866208,75.3271
2374274,84.2905
2317378,73.338
2155585,100.0
1740115,57.6923
1834068,60.4055
2305136,100.0
2221133,87.5
1878307,66.6667
2540459,49.5392
2456595,90.2801
2074462,45.7483
1698667,84.1629
1802615,78.61
2546791,18.3101
2645733,19.6203
2585691,94.9748
1746815,90.2613
1772368,63.8124
1702502,77.4648
2563639,76.6129
2407803,91.0663
2329445,77.5549
2257930,83.3037
2352694,54.6926
2097351,41.0924
2293498,92.9878
2387962,87.8788
2048226,29.8526
2392134,48.9691
2064931,88.0427
2392501,85.7143
2357775,73.913
1698386,94.7368
1993320,36.6243
1715276,85.7143
2568279,65.3148
1754171,69.5652
1821972,57.6103
2400356,79.0698
1687425,59.1524
2242353,71.123
1960064,88.0546
2212345,59.1398
1770927,72.2808
2320124,98.6364
2644838,88.764
2415654,94.9753
2329178,58.4906
2143493,92.4642
1888900,24.6753
1721950,96.7742
1715988,92.3077
1953393,55.5556
2406320,44.4444
2337835,84.7882
2065822,23.4596
2354824,75.7576
1718693,95.1613
2164329,23.8095
2597552,94.0544
2408250,94.3548
1968476,78.8194
2417284,84.878
2159075,90.9983
2362504,40.3509
2095188,77.2105
1724685,75.0
1797587,33.3333
1967204,91.6667
2164471,82.9787
1966435,91.4894
1814521,69.1166
2357832,42.1053
2244490,74.0394
2596148,38.4615
2289683,77.9471
2587851,59.759
2534970,94.4559
2011728,58.3333
1712469,100.0
2303552,40.3846
2369524,43.1034
1719318,71.9298
2556313,38.9642
2586751,12.6168
2558671,94.9754
2563683,17.0468
2264469,85.7143
2475186,82.3155
1776079,100.0
2521597,48.3871
2314161,41.6667
2240628,54.0
2084463,24.4444
2346638,95.098
1784512,67.3996
2400751,94.7889
2158956,55.7009
1902149,90.761
2000369,71.813
2295884,53.3333
2456008,71.3439
1944652,78.6115
2147611,53.202
1843962,76.2918
2609584,77.0117
2480114,44.6727
1782457,86.6667
1969870,94.0972
2453365,95.9559
1732171,84.2616
2195979,14.2857
1736844,88.8889
1960826,83.8335
2548638,94.8718
2532884,94.9765
2375609,17.0819
2069099,75.0
2277325,64.2857
1843384,74.3682
1942166,60.0
1733505,84.6154
1781699,97.2603
1840353,76.9231
2388759,42.2925
1667505,80.0
1686276,82.0628
1667562,100.0
2641072,47.3812
2307420,50.0
2068769,80.3924
2052704,90.2613
1827171,90.5182
1870108,93.0233
2398599,71.6473
2616838,94.9749
1876116,66.6667
2600131,14.1414
1965237,75.6849
1953961,100.0
2371613,93.9286
2040308,8.046
1868437,59.901
2076289,52.75
2549530,94.8718
1736068,96.0465
2611396,35.0
1962094,53.8462
2406902,84.6791
2590067,12.5
2418139,94.976
2388865,27.8253
1696021,57.3402
2373336,36.7747
1691370,92.2029
1950502,89.9281
2301293,12.6374
2342450,77.7631
1769526,80.0
1802559,39.0029
2077310,85.4369
2165079,66.8161
2105928,92.7195
1846302,47.0588
2132376,71.4286
1761823,33.3333
1692294,80.0
2611902,91.4286
1869789,100.0
1737631,41.0256
2370143,86.4333
2016063,50.0
2417261,80.0
2245590,71.5287
2411654,100.0
2535629,83.6066
1942466,56.6879
2594355,5.8824
1739784,55.0
2616224,97.561
1970372,86.5385
1989892,75.0
1821371,88.8889
2304810,87.2549
2147583,53.2308
2011309,61.0228
1670223,70.9091
2376044,27.6423
1756996,100.0
2327537,86.1111
2307408,98.6111
1839211,7.6923
2281322,50.4021
1904578,76.8458
1695335,55.102
1672741,98.1802
1810217,64.0
2583478,17.7419
1823580,35.269
1824177,67.6991
2192664,85.7143
2189579,65.7895
2486468,65.2438
1902649,88.6029
1858094,79.7468
2365849,78.3777
2022031,31.3869
1716897,38.0952
1783610,5.9259
2584235,59.8309
1925682,87.4979
1723179,19.5447
2294520,42.2153
1900104,83.3228
1736529,91.7808
2338961,52.5862
2155671,60.0
1707233,64.0
2499685,90.6977
1782854,94.1176
2357879,56.8182
2487010,26.3529
2640678,94.9752
2183314,98.8235
1718065,92.3077
1746257,6.6667
1976728,80.597
1703738,22.2772
2628438,80.8219
2585263,21.5415
2294644,100.0
2506189,94.7899
1696437,79.5792
2346523,50.0
2567787,44.4688
2558551,100.0
2302910,42.5577
2611719,21.49
1749014,64.3678
2544254,94.975
1870245,66.6667
1702208,53.2051
2215478,42.7632
2402887,83.5714
2490184,72.6496
2563098,94.1176
2187722,62.0805
